# raindata from George Works
date,mm
13/9/2012,7.6
15/9/2012,11.4
18/9/2012,17.8
28/9/2012,5.1
2/10/2012,22.9
3/10/2012,2.5
12/10/2012,10.2
13/10/2012,45.7
14/10/2012,61
15/10/2012,17.8
16/10/2012,10.2
17/10/2012,55.9
18/10/2012,30.5
21/10/2012,38.1
13/11/2012,10.2
14/11/2012,2.5
16/11/2012,2.5
17/11/2012,2.5
19/11/2012,12.7
28/11/2012,2.5
29/11/2012,5.1
3/12/2012,10.2
4/12/2012,2.5
5/12/2012,5.1
6/12/2012,5.1
12/12/2012,2.5
18/12/2012,2.5
28/12/2012,3.8
3/1/2013,6.4
4/1/2013,1.3
6/1/2013,5.1
7/1/2013,3.8
9/1/2013,6.4
3/2/2006,43
10/2/2006,22
17/2/2006,5
24/2/2006,9
17/3/2006,17
24/3/2006,4
8/6/2012,4
22/6/2012,10
11/1/2013
12/1/2013,1.8
13/1/2013,4.8
14/1/2013
15/1/2013
16/1/2013,2.6
17/1/2013,4
18/1/2013,0.4
19/1/2013,2.2
20/1/2013,0.8
21/1/2013,0.6
22/1/2013,2.2
23/1/2013
24/1/2013,1.8
25/1/2013,10.6
26/1/2013,5
27/1/2013,4
28/1/2013,0.8
29/1/2013,0.2
30/1/2013,5.4
31/1/2013,0.8
1/2/2013
2/2/2013
3/2/2013
4/2/2013
5/2/2013,0.2
6/2/2013
7/2/2013
8/2/2013,3.6
9/2/2013
10/2/2013
11/2/2013
12/2/2013,4.4
13/2/2013,2.2
14/2/2013
15/2/2013,0.8
16/2/2013
17/2/2013
18/2/2013,0.2
19/2/2013
20/2/2013
21/2/2013
22/2/2013
23/2/2013
24/2/2013
25/2/2013
26/2/2013,1.2
27/2/2013
28/2/2013
1/3/2013
2/3/2013
3/3/2013
4/3/2013
5/3/2013
6/3/2013
7/3/2013
8/3/2013,3.6
9/3/2013,0.2
10/3/2013
11/3/2013
12/3/2013
13/3/2013
14/3/2013
15/3/2013
16/3/2013
17/3/2013,0.2
18/3/2013,0.2
19/3/2013
20/3/2013
21/3/2013
22/3/2013
23/3/2013
24/3/2013
25/3/2013
26/3/2013
27/3/2013,10.2
28/3/2013
29/3/2013,5.8
30/3/2013,9.2
31/3/2013,0.8
1/4/2013,2.2
2/4/2013
3/4/2013
4/4/2013,7
5/4/2013,2
6/4/2013,0.4
7/4/2013,25.2
8/4/2013
9/4/2013
10/4/2013
11/4/2013
12/4/2013,0.6
13/4/2013
14/4/2013
15/4/2013,1
16/4/2013
17/4/2013,0.2
18/4/2013,7.4
19/4/2013,0.4
20/4/2013,6.2
21/4/2013
22/4/2013
23/4/2013
24/4/2013
25/4/2013
26/4/2013
27/4/2013,0.8
28/4/2013
29/4/2013,1
30/4/2013,3.8
1/5/2013,8.4
2/5/2013
3/5/2013
4/5/2013
5/5/2013,2.8
6/5/2013,47
7/5/2013,0.4
8/5/2013
9/5/2013,23.6
10/5/2013,47.4
11/5/2013,51.8
12/5/2013
13/5/2013,2.8
14/5/2013
15/5/2013,5.8
16/5/2013
17/5/2013
18/5/2013
19/5/2013
20/5/2013,5.4
21/5/2013,12.4
22/5/2013,4.6
23/5/2013,5.8
24/5/2013,23.6
25/5/2013,4.4
26/5/2013
27/5/2013,9
28/5/2013
29/5/2013,10
30/5/2013,0.4
31/5/2013
1/6/2013
2/6/2013
3/6/2013,5.6
4/6/2013
5/6/2013
6/6/2013
7/6/2013,5.4
8/6/2013,1.2
9/6/2013,1.6
10/6/2013
11/6/2013
12/6/2013
13/6/2013,12.6
14/6/2013,2
15/6/2013,0.2
16/6/2013
17/6/2013
18/6/2013,1.6
19/6/2013,15.2
20/6/2013
21/6/2013,0.2
22/6/2013,1.8
23/6/2013,18
24/6/2013,1
25/6/2013,7.4
26/6/2013,3.2
27/6/2013
28/6/2013
29/6/2013
30/6/2013,8.4
1/7/2013,4.6
2/7/2013,2
3/7/2013
4/7/2013
5/7/2013,0.2
6/7/2013,1.2
7/7/2013,11.4
8/7/2013,1.6
9/7/2013,8.8
10/7/2013
11/7/2013
12/7/2013,0.6
13/7/2013
14/7/2013,36.4
15/7/2013
16/7/2013,1
17/7/2013,2.6
18/7/2013,2.8
19/7/2013
20/7/2013
21/7/2013
22/7/2013,1.2
23/7/2013
24/7/2013
25/7/2013
26/7/2013,2.4
27/7/2013
28/7/2013,1
29/7/2013
30/7/2013
31/7/2013,6.6
1/8/2013,5.2
2/8/2013,0.2
3/8/2013
4/8/2013,1.2
5/8/2013,3
6/8/2013
7/8/2013,1.8
8/8/2013,5.4
9/8/2013,0.2
10/8/2013,1
11/8/2013,1.2
12/8/2013
13/8/2013
14/8/2013
15/8/2013,6.8
16/8/2013,0.8
17/8/2013,1.2
